Subj_idx,Stimulus,Response,Confidence,RT_decConf,blocki,triali,keypress,coh_level,coherence,isCalibTrial,stairID,accTarget
7,1,1,4,1.1298329830169678,1,1,z,5,1.0,1,2,0.78
7,2,2,4,0.4832570552825928,1,2,slash,3,1.0,1,1,0.65
7,1,1,4,0.4425089359283447,1,3,z,1,1.0,1,1,0.52
7,1,1,3,2.9314539432525635,1,4,x,5,0.49404523106357984,1,2,0.78
7,2,2,3,1.1262989044189453,1,5,period,1,0.09949058049485845,1,1,0.52
7,2,2,4,1.8546411991119385,1,6,slash,3,1.0,1,2,0.65
7,2,2,2,2.7189810276031494,1,7,comma,1,0.03138144571425708,1,1,0.52
7,2,1,2,1.2260940074920654,1,8,c,1,0.00989837560720391,1,1,0.52
7,1,1,2,1.259368896484375,1,9,c,3,0.2602392584896463,1,2,0.65
7,2,2,4,1.1688978672027588,1,10,slash,5,1.0,1,1,0.78
7,1,2,2,2.671066999435425,1,11,comma,5,0.34725624696401963,1,2,0.78
7,2,2,2,0.9552819728851318,1,12,comma,3,0.2602392584896463,1,1,0.65
7,1,1,3,2.1954381465911865,1,13,x,5,0.7990282522261339,1,2,0.78
7,1,2,2,1.7914631366729736,1,14,comma,5,0.49404523106357984,1,1,0.78
7,1,1,4,0.6382181644439697,1,15,z,5,1.0,1,1,0.78
7,2,2,4,0.4937100410461426,1,16,slash,1,1.0,1,2,0.52
7,2,2,3,2.199126958847046,1,17,period,3,0.1327575470028123,1,1,0.65
7,2,2,2,1.116170883178711,1,18,comma,3,0.06772447165924093,1,1,0.65
7,2,2,4,0.6925320625305176,1,19,slash,5,0.8383814834138437,1,1,0.78
7,1,1,2,1.3485112190246582,1,20,c,3,0.1327575470028123,1,2,0.65
7,1,2,3,1.9117369651794434,1,21,period,1,0.02277592363117782,1,1,0.52
7,1,1,4,1.5844509601593018,1,22,z,5,0.702883511731197,1,1,0.78
7,1,2,1,1.519562005996704,1,23,m,3,0.03454872559091625,1,1,0.65
7,1,2,2,2.2851760387420654,1,24,comma,3,0.06772447165924093,1,2,0.65
7,2,2,2,1.6068930625915527,1,25,comma,3,0.15583237651136775,1,2,0.65
7,1,2,2,2.5382509231567383,1,26,comma,1,0.09949058049485845,1,2,0.52
7,2,2,2,0.8739480972290039,1,27,comma,3,0.11130146919060088,1,2,0.65
7,2,2,2,0.5173478126525879,1,28,comma,3,0.07949578464577023,1,1,0.65
7,2,2,2,0.6909198760986328,1,29,comma,1,0.052406851168156306,1,1,0.52
7,2,2,2,0.5628559589385986,1,30,comma,1,0.029432934055194496,1,1,0.52
7,2,2,2,1.1428561210632324,1,31,comma,3,0.05677894301309321,1,1,0.65
7,2,2,3,1.1314342021942139,1,32,period,5,0.669890491390917,1,2,0.78
7,1,1,2,2.6619458198547363,1,33,c,5,0.5892845212323328,1,1,0.78
